,model,capital-common-countries,capital-world,currency,city-in-state,family,gram1-adjective-to-adverb,gram2-opposite,gram3-comparative
0,with_stops_cbow_True_window_2_size_300_noise_5_iters_100,0.16017316017316016,0.09135004042037187,0.0,0.046615322253749494,0.4,0.017204301075268817,0.023333333333333334,0.24549549549549549
0,with_stops_cbow_False_window_2_size_300_noise_5_iters_100,0.05844155844155844,0.05092966855295069,0.0,0.023915687069314958,0.3952380952380952,0.00967741935483871,0.0033333333333333335,0.0945945945945946
0,with_stops_cbow_True_window_2_size_300_noise_20_iters_10,0.0670995670995671,0.04688763136620857,0.0,0.03769760843129307,0.3595238095238095,0.013978494623655914,0.025,0.26651651651651653
0,with_stops_cbow_False_window_2_size_300_noise_20_iters_10,0.0735930735930736,0.054163298302344384,0.0,0.04539927036886907,0.40476190476190477,0.013978494623655914,0.045,0.3551051051051051
0,with_stops_cbow_True_window_2_size_300_noise_20_iters_30,0.18831168831168832,0.11802748585286985,0.0,0.08025942440210783,0.4357142857142857,0.035483870967741936,0.03833333333333333,0.39564564564564564
0,with_stops_cbow_False_window_2_size_300_noise_20_iters_30,0.08225108225108226,0.05092966855295069,0.0,0.017430077016619375,0.4095238095238095,0.010752688172043012,0.005,0.16891891891891891
0,with_stops_cbow_True_window_2_size_300_noise_20_iters_100,0.20995670995670995,0.1301535974130962,0.0,0.0883664369679773,0.4261904761904762,0.015053763440860216,0.013333333333333334,0.22672672672672672
0,with_stops_cbow_False_window_2_size_300_noise_20_iters_100,0.06060606060606061,0.05901374292643492,0.0,0.03648155654641265,0.3761904761904762,0.00967741935483871,0.0016666666666666668,0.0960960960960961
0,with_stops_cbow_True_window_2_size_600_noise_2_iters_10,0.025974025974025976,0.015359741309620048,0.0,0.01905147952979327,0.37142857142857144,0.0,0.006666666666666667,0.1403903903903904
0,with_stops_cbow_False_window_2_size_600_noise_2_iters_10,0.05627705627705628,0.02910266774454325,0.0,0.02107823267126064,0.35,0.015053763440860216,0.018333333333333333,0.24474474474474475
0,with_stops_cbow_True_window_2_size_600_noise_2_iters_30,0.08441558441558442,0.047696038803556995,0.0,0.03891366031617349,0.5095238095238095,0.024731182795698924,0.03166666666666667,0.4519519519519519
0,with_stops_cbow_False_window_2_size_600_noise_2_iters_30,0.06060606060606061,0.0444624090541633,0.0,0.01053911633563032,0.4023809523809524,0.013978494623655914,0.006666666666666667,0.26651651651651653
0,with_stops_cbow_True_window_2_size_600_noise_2_iters_100,0.11038961038961038,0.0856911883589329,0.0,0.016214025131738953,0.41904761904761906,0.015053763440860216,0.016666666666666666,0.31456456456456455
0,with_stops_cbow_False_window_2_size_600_noise_2_iters_100,0.030303030303030304,0.05092966855295069,0.0,0.01053911633563032,0.34523809523809523,0.002150537634408602,0.0,0.04504504504504504
0,with_stops_cbow_True_window_2_size_600_noise_5_iters_10,0.05844155844155844,0.02667744543249798,0.0,0.026753141467369273,0.43333333333333335,0.007526881720430108,0.013333333333333334,0.2132132132132132
0,with_stops_cbow_False_window_2_size_600_noise_5_iters_10,0.0670995670995671,0.041228779304769606,0.0,0.032022699635184435,0.4595238095238095,0.016129032258064516,0.03333333333333333,0.32882882882882886
0,with_stops_cbow_True_window_2_size_600_noise_5_iters_30,0.10173160173160173,0.0719482619240097,0.0,0.05918119173084718,0.5119047619047619,0.02795698924731183,0.04666666666666667,0.5052552552552553
0,with_stops_cbow_False_window_2_size_600_noise_5_iters_30,0.025974025974025976,0.03799514955537591,0.0,0.009728415079043373,0.33095238095238094,0.002150537634408602,0.005,0.20270270270270271
0,with_stops_cbow_True_window_2_size_600_noise_5_iters_100,0.11471861471861472,0.08488278092158448,0.0,0.039319010944466964,0.3976190476190476,0.013978494623655914,0.013333333333333334,0.27177177177177175
0,with_stops_cbow_False_window_2_size_600_noise_5_iters_100,0.03463203463203463,0.047696038803556995,0.0,0.011349817592217268,0.33095238095238094,0.001075268817204301,0.0016666666666666668,0.05405405405405406
0,with_stops_cbow_True_window_2_size_600_noise_20_iters_10,0.06060606060606061,0.037186742118027485,0.0,0.039319010944466964,0.4,0.013978494623655914,0.018333333333333333,0.25825825825825827
0,with_stops_cbow_False_window_2_size_600_noise_20_iters_10,0.06926406926406926,0.04688763136620857,0.0,0.04377786785569518,0.44047619047619047,0.016129032258064516,0.04833333333333333,0.3551051051051051
0,with_stops_cbow_True_window_2_size_600_noise_20_iters_30,0.14502164502164502,0.11802748585286985,0.0,0.0636400486420754,0.45476190476190476,0.025806451612903226,0.041666666666666664,0.43318318318318316
0,with_stops_cbow_False_window_2_size_600_noise_20_iters_30,0.015151515151515152,0.02263540824575586,0.0,0.005674908796108634,0.3142857142857143,0.005376344086021506,0.0,0.08558558558558559
0,with_stops_cbow_True_window_2_size_600_noise_20_iters_100,0.12987012987012986,0.1059013742926435,0.0,0.061613295500608026,0.3738095238095238,0.017204301075268817,0.01,0.25900900900900903
0,with_stops_cbow_False_window_2_size_600_noise_20_iters_100,0.008658008658008658,0.03152789005658852,0.0,0.0044588569112282124,0.2833333333333333,0.001075268817204301,0.0,0.04804804804804805
0,with_stops_cbow_True_window_8_size_100_noise_2_iters_10,0.032467532467532464,0.016976556184316895,0.0,0.02188893392784759,0.3047619047619048,0.007526881720430108,0.01,0.11936936936936937
0,with_stops_cbow_False_window_8_size_100_noise_2_iters_10,0.08874458874458875,0.050121261115602264,0.0,0.02229428455614106,0.3547619047619048,0.024731182795698924,0.015,0.2222222222222222
0,with_stops_cbow_True_window_8_size_100_noise_2_iters_30,0.11038961038961038,0.06386418755052546,0.0,0.0433725172274017,0.44285714285714284,0.00967741935483871,0.023333333333333334,0.3160660660660661
0,with_stops_cbow_False_window_8_size_100_noise_2_iters_30,0.12337662337662338,0.07113985448666128,0.0056179775280898875,0.027158492095662748,0.30714285714285716,0.016129032258064516,0.0016666666666666668,0.20945945945945946
0,with_stops_cbow_True_window_8_size_100_noise_2_iters_100,0.11038961038961038,0.0646725949878739,0.0,0.07093635995135793,0.4,0.017204301075268817,0.011666666666666667,0.25225225225225223
0,with_stops_cbow_False_window_8_size_100_noise_2_iters_100,0.15800865800865802,0.08407437348423606,0.0,0.05472233481961897,0.39285714285714285,0.024731182795698924,0.0,0.15315315315315314
0,with_stops_cbow_True_window_8_size_100_noise_5_iters_10,0.03896103896103896,0.02667744543249798,0.0,0.02188893392784759,0.4261904761904762,0.013978494623655914,0.018333333333333333,0.19744744744744744
0,with_stops_cbow_False_window_8_size_100_noise_5_iters_10,0.15151515151515152,0.06305578011317704,0.0,0.04256181597081476,0.4119047619047619,0.01827956989247312,0.008333333333333333,0.2545045045045045
0,with_stops_cbow_True_window_8_size_100_noise_5_iters_30,0.170995670995671,0.09054163298302344,0.0,0.07863802188893393,0.5,0.013978494623655914,0.013333333333333334,0.34459459459459457
0,with_stops_cbow_False_window_8_size_100_noise_5_iters_30,0.15367965367965367,0.08811641067097817,0.0,0.05188488042156465,0.36904761904761907,0.013978494623655914,0.0033333333333333335,0.19594594594594594
0,with_stops_cbow_True_window_8_size_100_noise_5_iters_100,0.1645021645021645,0.1059013742926435,0.0,0.07498986623429266,0.42142857142857143,0.025806451612903226,0.006666666666666667,0.23273273273273273
0,with_stops_cbow_False_window_8_size_100_noise_5_iters_100,0.11255411255411256,0.06628940986257073,0.011235955056179775,0.03810295905958654,0.3976190476190476,0.02043010752688172,0.0016666666666666668,0.1478978978978979
